airline_sentiment,text
negative,response flight montrose cancelled flightled
negative,probably going miss connection charlotte drive home funeral
negative,manchesterbwi delayed one idiot isnt plane weve waited hours window may miss
neutral,merging miles complete wasnt month
negative,giving direct flight iah honolulu attempt years delay meal voucher wow customer service
negative,cancelled flightling dont want put us hotel night guess
negative,experience worse flying experience ive ever met contempt customer service makes worse
negative,waited mins baggage mdwgtmem inflight service suspended drink
negative,extreme inconvenience make ppl check bags theres lot overhead space left lie youre fault
neutral,please explain …… fleets fleek
negative,staff refusing allow woman board departure sign still boarding
negative,entire system go really
negative,mean posted usair empl direct anyone accepting calls contact usair re rebook greatjob
negative,could change name dothatd awesome also plane smells like onion rings
negative,gotta say yall amp staff real
negative,seriously whats slow wifi flight speed going change worse price shouldnt go
positive,timeand time next flight thursday
neutral,final pls dont let connection leave conf
negative,yes unbelievable free fare lock
positive,thank swa shannon miracle worker awesome
negative,cant even fit name first two lines yes please pass feedback big downgrade previous years
negative,refund flight vouchers another flight different airline expense today hour drive inconvenient
negative,wait ill lose flight frustrating
negative,get reimbursed hotel taxis cancelled flightation
neutral,ceo battles appease passengers investors toledo blade
negative,im first time solo female traveller pretty scary foreign place knowing belongings
negative,cleaning regional jet takes hour
neutral,course am✈️
positive,versus customer service win convenience trip cali
negative,sorry sat plane hours waiting engine fixed got luggage lost
positive,relieved im flying listening everyone neighboring gate bitch spirit airlines better
positive,aww cool nice know still head one faves
negative,long take get credit aa account traveled jan amp one leg reported asked credit response
negative,shouldnt happen put us gear jeopardy steps take protect customers items
negative,told ticket expired never recvd notice expired sucksi paid miles amp tckt
negative,regret flying morning doesnt support business travelers neverflyvirginforbusiness
negative,hope see issue return flight tomorrow
negative,lost bag flight vegas el paso going dallas love gate attendant said see coordinate get love
negative,spoke customer service rep rude curt transferred eternal hold sad badservice mergerdisaster
negative,may make connection need find options yet one
negative,last flight cancelled flightled im disappointed
negative,guys awake need help delayed flight get protected late flightr flight phl
negative,seriously four delays takes minutes get vegas amp connecting flight ridiculous
negative,originally trying share details link jimmy samartzis vice president customer experience sent expired
negative,worst airline i’ve ever flown guys treated like garbage today
negative,wifi aircraft didnt work entire orddca flight morning
negative,funny none ur tweets back helpful want read ya well change customers get better service
positive,worked like charm bag waiting carousel got baggage claim welldone goodflight friendlysky
negative,flight leaving las vegas arriving chimid pm
negative,due expensive change fees either airlines chose could screw us stranded help
neutral,dont worry im gonna share row
negative,good luck strategy innovation work hello
negative,please explain every flight dallas going today except pm
negative,decided good sport give guys another shot flight delayed
negative,yes manage lose two bags horrendous airline
positive,thanks guys best
negative,long day flt ord cancelled flighted notice message email nice platinums
neutral,flight number
negative,hr mechanical delay get voucher tweet book next trip ua
negative,wish flying cancelled flightled flights tomorrow never notified us flyus ripoff
positive,thanks
negative,realize youve said already least last time asked needed help
negative,mood lighting point reclining seat kickin feet
negative,us costing get home today reason send receipts reimbursed
positive,thank much youre amazing im going cry omg
negative,frustrations result multiple experiences late flightly currently lost luggage want talk real person
negative,sitting plane minutes saying another minutes something paper work sucks
positive,sea den south sound volleyball team way
negative,flight bosclt awful experience exit row seat narrow could move legs unacceptable
negative,gears grinding jfk baggage office told need bring bag back right close claim
positive,wheres selfie
negative,months straight travel ahead time find new airline
negative,thanks mr got rebooked already lost first class seat life
negative,flight attendant hesitant give baby sized cookies
negative,even went ticket counter got help
positive,hahah love flying jet blue tho
negative,hard stay upset someone least try show remorse
negative,report filed airport police februaryi police case number required
negative,weve driving across dfw thats half fucking way texarkana shouldhavedriven
negative,international airline experienced record profits last quarter cant staff call center
neutral,go go
negative,sitting tarmac half hour landing jetway broken
negative,give direct number call regarding lost baggage immediately
negative,never fly us airways american share nightmare story many others know fly
negative,customer service deplorable disgusted company ignorant people phones lost baggage
negative,hold time today need help confirming new flights arranged expedite
negative,also problem calling us airlines send automatic call email rebook courtesy
negative,note traveling old unreal
negative,cancelled flighted rebooked us air nonstop us
positive,employees great
negative,theyre also saying clt flights delayed youre showing system makes impossible figure
negative,suck big donkey balls
positive,thank truly appreciate help sent dm
neutral,noticed dont believe saw confirmation flight bought weeks ago def paid though help resend
neutral,would possible change flight website many thanks
neutral,youll enjoy fleets fleek
negative,waiting flight jfk newyork viracopos americanairlines
neutral,whats point email stating didnt get bumped class know im first class booked regular ticket
negative,sent email customer service night happened ur response basically bad sorry contact
negative,told coded upgrade clearly purchased seat miles refuse downgrade ripoff
negative,first pilot late flight maintenance exactly happened two weeks ago unacceptable
negative,cool told cant reroute bags told leave last night needs race
neutral,already rebooked tomorrow fingers crossed
positive,thank person houston could get flight routing newark nj im going sfo
positive,aateam thanks working rigorous weather conditions
negative,letting dm
neutral,airways continue various commercial relationships lufthansa
neutral,many allergies want know bring bottle benadryl flight along epipens
negative,waiting half hour checked baggage delivered updates ground crew
negative,look like talked customer service
negative,worst customer svcs kevin rep call center must investigated baggages lost theres help argument
negative,lies
neutral,saw finally come mobile app however tomorrow meetings tonight im trying make
positive,thanks ride chicago kmdw
positive,happy note crew wonderful cant say enough great things pilot hes us
negative,leg flight nyc tomorrow cancelled flightled make hold may miss chance back home
neutral,april anything specific know first flight
negative,seriously ua delayed copilot isnt hours flying raleigh disappointing
negative,bag lost according rep dont even know please help
neutral,dmed details
positive,happy enter sweepstakes nutsaboutsouthwest
neutral,know probably way get cheaper airfare ticket flight leaving hours
negative,preferred security line anymore tsa precheck didnt pull partner flight platinum spoiled
negative,minutes put tsa number in… mins… stop holding people hostage requiring dividends miles acct
negative,thanks formed submitted im betting someone would honest enough turn though
negative,fault flight delayed begin shouldnt check bag theres bunch space
neutral,mosiac
negative,landed might want check flight plane houston sound takeoff amp landing
negative,posted response facebook everyone see people appalled lack concern
negative,dont lose luggage
positive,got thanks
negative,flight fll phl connection man however delays might miss go earlier
negative,update flightits three hours delayed thank
negative,thx apology commitment fix broken system would better actually fixing would better still
positive,amazingly awesome customer service reservation agents tonight helping correct mistake love airline
positive,great la flight clarence frank guys hoot thanks
negative,flight awful one lavatory functioning people lining bumping etc cant use class bathroom ridiculous
neutral,offering companionpasses atlanta residing frequent fliers
negative,great customer service come knowexpect luv dropped eb check help sight
positive,better holdon everythingsgonnabealright brandloveaffair truebluelove travel business
neutral,please dont rt fleets fleek
negative,americanairlines says bags left miami returned following mechanical glitch gtgt
neutral,chance adding laxgtjfk direct time future
neutral,starting routes hawaii canada
neutral,ceo kelly draws record crowd business partnership breakfast
negative,holiday lifetime new york ruined lost luggage failed find since sunday wontflyagainwithyou
negative,ur response inconvenience matter wanted sit xtra nights city wout comp donotflyusair
negative,major complaint want address wyou hand luggage courtesy checkin whats best way
positive,since get good transcontinental flights pleasurerelief
negative,yes computer would allow get san diego quick customer service help says cant rebook
negative,access dividend miles week automated phone keeps telling call back late flightr frustrated livepersonplease
neutral,sure follow sec
neutral,time check open flight manchester newark today
negative,jason youll end missing connection please see dfw agents assistance” nope hasnt taken yet still
negative,even tho extra lbs still going plane carry sense say fat people
positive,ready inspired
negative,liar precipitation day degrees dont pacify look like foolthats problem admit suck
negative,cancelled flightled one
neutral,upcoming rr changesdeval trying tell fly southwest anymore loyal far get
neutral,system running
negative,give us clever advertising bagsflyfree badpolicy allows cheatcustomers
positive,two seats avail far us
negative,customer service terrible
neutral,new ceo seeks right balance please passengers wall alaska highway news
negative,rebooked american united said theyd transfer bags
positive,guys big hearts keep good work
negative,flights using gate wbuses planes awful boarding process hour half late flight
negative,needs get act together phx
positive,ice cream front solid
negative,one hour departure time still update
negative,hope lose next govt contract
negative,rebooked mdw drink coupons could help
positive,love sw forever⤴⤴
negative,laxogglax using hard earned miles given lousy service faulty seats legs damaged bag customer care
negative,hold min ea trying bk tix asia website amp customer service dont want business korea air
negative,sent letter letter get back nothing form letters half baked replys usairwaysssuck
neutral,one flight though leg kids sitting scattered aircraft
negative,hear blah blah blah shoulda used buy ticket instead amp ill driving flying
negative,worst flying experience guys need better
negative,idea wait time refunds told days phone well past
neutral,happen know plane repainted fly sunset
negative,lack customer service astounds worst airline history airlines train staff
positive,yes called uk number skype…well worth recommend others
positive,cant wait trip thanks getting
negative,dont understand isnt flight paid premium getting cancelled flighted best next available flight
negative,youre giving everyone tix destinationdragons except birthday
negative,whats good number call speak someone fix people luggage saturday
negative,shouldnt find tell us ive flown jet blue since first month experience isnt
negative,never bad experience one took cake extortion carry items well
negative,ive booked wrong flight pe desk wait hours
neutral,hi guys checking usaa jfk phx renewed admirals club today
positive,cool
negative,trouble getting rebooked
negative,reservations hold hours hang upsmh
negative,possibly worst airlinegave three chances second time weeks flight delayed cancelled flightled due mechanics
negative,another week passed hoped would response
neutral,wannaa go vegas show bad id doo anything destinationdragons
negative,delay understandable look time flight boarding time weird
negative,costumer service sucks waiting week response
neutral,portland maine
positive,ha ha get wake call boarding time please large coffee extralight extra sweet please
neutral,thanks
negative,seems never received id password
positive,thanks aa upgrade today getting new flight first one cancelled flightled
neutral,austin jfk
negative,different fiasco outward trip rebooked qantas laxsyd ff miles show account
negative,used committed continentalairlines flyer merger remember switched communicationfail
negative,flight declared state emergency squawking
negative,mess caused computer systems flight hours late flight gate us est min wait
negative,hr flight delay delay land even real life get plane wanna go home heel clicks
neutral,could guys follow dm yall please
negative,youre blowing customer service shotwest airlines
negative,overall experience flying friendly
negative,go airline much say care see much right suck
neutral,hawaii deals
negative,customer service stinks trying book flight hours keep getting hung usairwayssucks
negative,weve since youve cancelled flightled flight twice
positive,officially favorite thank wonderful service jfk
neutral,friend
neutral,sent dms
neutral,see talks military baggage fees please guide thanks
negative,issue think training amp information would help great ppl service needs switch individual group better
neutral,hi
negative,phone issues please fix
negative,moved seat notice better seat cabin select behind row selected disappointed
negative,missed connection already missed next flight put im going lax instead hawaii
negative,show destination clothes suitcase nakedmeetings awkward
neutral,sent dm please help
negative,minutes hold reservation
neutral,flying glamco weeks long airport departure international domestic ta
positive,thankyou dalaus route makes day
negative,agents working slowly rebook people wasted entire day stt
neutral,im game youre buying
negative,maam doors close mins prior departure mins laughter agents
negative,admirals club clt rude ignorant front desk fallen farthanks doug parker
neutral,gonna know math test tomoro cant concentrate destinationdragons
neutral,receipt doesnt show evoucher value mention used evoucher
negative,honeymoon delayed day gas cap screwed flight frustrating
negative,call customer service course say theres nothing offer transfer disconnect line
negative,get help support ticket days incident thank
neutral,thanks beareavement discount anymore book online
neutral,flights dont appear applied mileageplus account help
negative,blocked dming would rather complain public forum
negative,estimate holding online end im hour forty minutes need rebook
negative,serious delay americanairlines ohio dallas missed connecting flight
negative,called ep line hours late flightr called back sat hold hour us airways cut
negative,anyone airline know job
negative,website downnnnn ugh
neutral,stuck middle seat
negative,hold minutes need help usair wont help
positive,weather bc system outage hopefully everything goes smoothly thank follow
negative,five days im asking clarify policy car seats dont want take higher
negative,boarding order someone boarded service animal member party allergic flight
neutral,get help cancelled flighting flight reservation
positive,flight artisanal cheese wine pairing
positive,hoping voucher future flight optimistic
negative,add wifi entertainment old seats i’ll come back
negative,load us flying sardine knew pilots hours late flight incompetent beyond belief
positive,thanks
neutral,pleasecan last tickets best friend destinationdragons
negative,free wifi flights delayed mins allowed
negative,promotion also said two free round trip flights nope pay extra chi vegas baitampswitch
neutral,guys starting flights end month guess i’m still road tripping feb
neutral,becomes first airline accept apple pay future travel experience
negative,need assistance reflight booking problems flight dfw lit
negative,cancelled flightled flights last name right thing reinstate tickets
negative,offered cot sleep onafter cancelled flightled flight fucking cot hotel like youre supposed provide
negative,already question still say progress days
negative,trouble flight booking problems seat march operated aa neither airlines website allow seat selection
neutral,ill read nice glass wine right dig heels next novel maybe travel need
negative,typical caned response ua fix crappy performing last placedranked airline century
negative,worst reps jacksonville airport rude totally helpful
negative,ok supposed california ago
negative,voucher give us hotel useless call number say rooms available expect
negative,get
negative,still cant dm
neutral,grrrrrr need flight first maybe bday next month
positive,glad hear thanks sharing video” jetblue bff
positive,thank
neutral,sent feedback thank
negative,believe help customer service couldnt like said want number someone fix
neutral,come
negative,poorest trained employees desks havent even started discuss lostluggage yet
negative,tried calling got high call volume moment message said goodbye hung up…
negative,please send number call talk person put hold
negative,poor customer service displayed weekend storm stuck tarmac hours answer
neutral,boarding yay
negative,idea upset frustrated right ill sure follow never flying
negative,missing connecting transportation puerto rico result need get vieques today
negative,flight tomorrow already cancelled flightled
negative,add insult injury guys misplaced bag cant believe pay money treated poorly
negative,thats interestingagent told sadly another booked passenger didnt make gate push back made
negative,really hr delay gate changes amp boarded us sent us back amp boarded us wont change flight go
negative,yes hope update soon need clothes meeting tomorrow
negative,please improve business extra flight reservation process cant book online century min hold
negative,wont answer reservation line nice service may stuck
neutral,whos running tweeter using word fleek
neutral,would love dm twitter app says youre following cant
negative,guys cancelled flightled flight today booked tomorrow unfortunately rebooked thanks
negative,link current status flightsairports fly bwiewrmco morning yet cant yet tell problems except see snow
negative,one appreciates sass gate agent gate lga flight irritated customers
neutral,whats allowed whats allowed carried checked baggage
negative,ah thats funds fix broken plane upon sat hrs iah runway went
neutral,feels nice weve got going lets swap fool make better
negative,delayed flight wilmington made miss flight charlotte figure take arrive time
negative,app worst one airlines cant anything original flight time gone useless
neutral,beats expectations shares take santa cruz sentinel
positive,done truck biggie
positive,mechanical issue looks like got fixed thanks concern
negative,cant dm dont follow
negative,moving seats bought months ago happens far often
negative,false agent let us extra leg room upgrade upgrade mint poor business practices badcustomerservice
negative,would way wether delayed yet love charlotte ice storm good luck mad customers
positive,thanks good times back vodkatonics entire flightsfo
negative,apparently substitute pilots flight bos fll cant found info avail counter
negative,wasnt offered flight phl tuesday ask booked houston instead austin
positive,dm sent thank
negative,yes dale baggage office wonderful everyone page hour wait
negative,thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes
negative,miles going restructured help silver status brotha thought winning guys today lol
positive,el paso dealsmay❤❤❤
neutral,dm
negative,hey job dont give safety spin plane broke original flight unitedsucks
negative,worst flying experience life flight scheduled departure phl hrs late flightr guess
neutral,give silver status months
negative,everyone else outstanding
negative,supposed board brought plane hanger wtf know laxewr
negative,mean id vegas id allowed original flight
negative,year every time us air something happens sat waiting rescheduled flight hours say
negative,way impatience partits untruthful proper systems place
positive,thats fine ill take
neutral,southwest currently awaiting government approval route know official
positive,thank help today loyal us airways customer appreciate responding tweets
neutral,atlantic ploughs lone furrow middleeast
neutral,confirmation number need email confirmation flight nyc sfo feb
negative,us airlines la rdu holding onto baggages hour already everyone still waiting
neutral,yes delta
negative,bos msp msp aus aus bos site doesnt seem display fields middle trip add
neutral,airways corporation nasdaqjblu update says lufthansa markets bureau
negative,one aa event lots info available winterops
negative,height rudeness without question worst customer service ever experienced
positive,plane crew professional courteous gate agents flustered
neutral,get namesdallas flight chicago
negative,freakin
negative,delayed cmh ord ran gate min connection door closed one around ignored agent super rude thanksunited
negative,yall going bankrupt inflation really bad days went overweight fees outrageous
negative,worst agents us ft lauderdale airport passengers stand line getting status alerts amp still didnt make announcement
negative,everyone around us sitting friends family members booked tickets october december bought
negative,changes well late flightr find flight scheduled isnt ready
negative,never airline refuse help sit parents tiny kids guy willing jetblue
positive,crew sansfo brilliant rita hilarious know ive great flight
negative,many delays todaywhats hoping flight boards soon united
positive,yall real mvp prices
negative,lax connect term term layover due delay realistic held
neutral,yup mco
negative,suck customer services worst whats point loyalty scheme dont honor badairline
neutral,yo give plane back theyre mad amp threatening take away companion pass luv
positive,nice read thank much
positive,thank trying two days set
negative,current hold time speaking rep tix reissued mins long amp make option available online
positive,thank
positive,best airline hands amazing customer service bags free affordable flights happycamper
neutral,give tickets atlanta show ill roadtrip canada deal
negative,load us flight captain hours could fly one consecutive period unacceptable
negative,would like talk customer service agent service non service received last flight week go
neutral,thanks fb message telling wait days im waiting
positive,social media team point oscarnight
negative,mechanical failure isnt boston fault
neutral,need help reservation follow dm details thanks
negative,company actualy put people weird situationsyour hostel voucher fakesnow ok lies please
negative,get travel question answered quickly online calling helping busy day
negative,ive done everything still luck finding bag dont understand bag could misplaced upsetting
negative,im sure people working hard systems assist ivr prompting offering call backs hold wait times
negative,hold today connecting passengers coming delayed flights
neutral,two rows
negative,didnt nothing ruined wet frustrating traveling hours cant change clean clothes
neutral,contact requesting charity donation thankyou
negative,booked flight guys im reconsidering decision reading tweet
negative,delayedwow
positive,great day air
negative,lost found like talking hormonal teenager refuses talk useless wastedeffort fail
negative,loves cancelled flightling tickets telling customers flyunited
negative,ringling brothers barnum bailey keep eyes peeled clown car
neutral,thanks
negative,needs hire people
positive,really wish youd fly fargo fares amazings
negative,checked flight sfo lax amp told atlantic flying club gold get benefits
negative,kidding bad customer service folks flew psp phx flight cont
positive,okay great thank
negative,case making jackass allowed favor sayget right care lessme vacation true seeampeter scott
negative,option call back im sitting burning minutes waiting error fixed
negative,failing diverted stuck communication make decision let us go flight
negative,hey letting know youre worst fucking service ive ever used thanks nothing
neutral,corporatepaid travel april possible purchase upgrade first class
negative,wifi stays connected lifetime higgs boson
neutral,mad love nyc
negative,customer service sucks hang waiting hour talking minutes
negative,need fly gsp dsm claims theres sched avail book separately together
positive,thank sending details theyre pretty handy dandy info lookforwardtoflywithaa
negative,waiting minutes hold yall cancelled flightled return flight answer phone
neutral,flight tomorrow reservation coming help
negative,phone call email cancelled flight flight would lovely
negative,seats waiting hold minutes gonenow stay another night charlestonvery pricy
positive,missing flight reflight booking problems walked onto another flight phone still seat
positive,great job passbook integration it’ll really help streamline commute san fran ☕✈
negative,ill sendingposting complete details circumstances surrounding matter united airlines ashamed
negative,im one jfk laxwhen upgrading planesplane screenslousy seats thats unitedfirst
negative,really wanted sign airline credit card absurd change fee switch flight made think twice
negative,yes hung called different number
negative,luggage
negative,still airport waiting flight
neutral,left friday
negative,formally complain customer service handler misconnected denied boarding amp lost bag help
positive,perfect probably need coffee stay awake night
negative,usual next flight shows time suppose leave minutes hasnt boarded
neutral,airways corporation jblu loses news airways wallstreet scope
positive,hi jp help awesome tsa representative able get taken care thank
negative,couldwanted call wouldnt use internet make reservation site wont work chrome several computers
negative,whats issue flight jax delayed tonight
neutral,momma made
negative,finally got phone hour wait time
negative,gate wouldnt let us
neutral,res went maiden namemarried docs maiden name hence problem
positive,thank much
negative,hold hourconnected wrong department automated systemtransferred another min amp counting
negative,flights sunny sfo delayed hours others cancelled flightled left right little updates help
negative,trying get home beyond complicated hard students split fly aa ever
neutral,desparately need yall make nonstop bnagt tul cmon itll popular right
negative,ive never witnessed covert tactics airline
neutral,ceo weighs profits flyers registration
neutral,spoke rep phone suggested voice concern via email us site moments ago
negative,staff could try throwing luggage around
negative,pls stop sending texts every saying flight delayed another usually defend lame
negative,need place sleep land without accommodations pls
negative,flying today mty mex still appear cancelled flight talk another flight
negative,sitting runway phl last min correct weights flight arent system jobfail
negative,sorry bother ive hold hours minutes continue holding call back
negative,dm explain whole story earlier flight
neutral,assign seats
negative,usairways flight late flight getting charlotte miss connector phoenix thanks last time ever fly usair
negative,cancelled flightn left us fend flt came late flight getting runaround hrs employee blaming previous
neutral,thats dfw omg yeah cold everywhere
positive,love admiral clubs thanks hey follow
negative,anyone answering phone morning hold minutes counting
neutral,definitely
negative,couldnt bothered help lost luggage single helpful employee owner found bwi
negative,time give status switch terrible cant even describe
negative,trying change flight hang ppl bc call volume high thats joke right
negative,connecting flight dfw cancelled flightled need get ind tomorrow way get sorted holding
negative,late flight flight today
negative,far best example worst company
negative,instead making seats smallerthinner jam people flightu concentrate maint amp happy customers
negative,couldnt sun supposed mon today
positive,hi saw black history month commercial tv amp im excited support monthwill grant free trip
positive,thanks hope get destination
negative,book hotel twice ahhhhh
negative,info cancelled flightled flight tomorrow morning dfw cant get calls speak anyone
negative,disrespect cannot even begin explain issue women literally yelled pulled
negative,stock response delays frustrating poor cust serv amp told ppl wait amp theyd come back
negative,wheres bag called noon promising today would like update like website promises need bag
negative,supposed carry pittsburgh coming boston carry
negative,im strongly considering taking business elsewhere unitedairlines
negative,case alert arrive late flight fourhour delay dont buy
negative,troubling news time raise bar legroom
neutral,considering purchased attempted use believe would fit parameters
neutral,photo
negative,unhelpful team sure im bangkok bag chicago going pay accommodation bag arrives
positive,love team running gate las tonight waited delayed flight kept things entertaining
negative,bags yet palm springs airport lax come beat bags
positive,finally
positive,thx fingers crossed found
positive,fleets fleek new fav airline
negative,sure different texts changing time amp gate especially locations across entire concourse seemed little
negative,record loaaret got email couldnt get rescheduled another flight dont know flight cancelled flightled
negative,way fuck lose bags husband warm clothes equipment youdidit notcool
negative,ord gate flt remember customers valuable hard nice someone lugging guitar amp carryons
neutral,thank although using miles card flight booking problems companion tickets booked phone
negative,team terrifyingly rude young mother amp baby trying check flight phx jwa help
negative,flight fll told take train back pbi get car trains pbi
neutral,flight arrives following flight
neutral,get leg room tonight
negative,literally worst
negative,get stop sending emails ex boyfriends account dont care many points
neutral,take electric skateboard domestic flight policies listed site regular boards apply
positive,please send linkemail formally compliment irene slc best customer service ever paxex
negative,broke suitcase amp refuses give repair estimate
neutral,nothing done online help bought birthday present trying able afford change
negative,grt flight phx last week tonight terrible hours taxing give us water crackers compensate
neutral,koalax fresh food service right
neutral,got rebooked aa online app
negative,thank wasting time amp money arrive hours late flight destination
neutral,thanks loose em time found think needs make flexes stay carrying bags
neutral,ceo battles appease passengers wall street waterbury republican american
negative,booked tickets using miles need change dates trying get advantage rep two days
negative,flight cancelled flightled website refers hangs autorebooked really horrible company
negative,feeling helpless tanpa airport talk someone flight delayed times need help missed connections prob
neutral,come provide service destin fort walton beach airport
positive,im wearing truebluecolors
negative,well im glad got sit airport place else id rather
positive,thank following
negative,customer service line keeps telling call back late flightr disconnects talk someone flight
negative,yall zero concept customer service ohand connection delayed
neutral,still posted downtown waiting yall way
negative,circle hell right dmv noshadetothedmv
negative,spent hours line trying get flight home tonight cancelled flightled hour late flightr even snowing dca
neutral,let us know help
neutral,please help save daughters life details go
negative,tried several times select seats ones ever available wouldve cost extra per seat
negative,worst view athlete watching team front seat chase van nogearnotraining
negative,lies liesstill sitting gate moved inch
negative,feedback concerns via site aren’t going improve poor airport experiences
neutral,qsvgru would next flight arrive
negative,appreciate response constant changing flight time frustrating say least toughtomakeplans
positive,dont think help based behavior voucher cot seem like enough lol
neutral,trying fly nashville tomorrow looking
positive,knows customer service thank starting week vacay amazing note thank sarita
positive,exactly ill flying aa dallas airline trust
negative,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
negative,possible someone drunk bring wheelchair keep serving
negative,get compensation cancelled flighting departure twice made missed wedding
negative,thanks canned reply
negative,know two hours us sitting plane bags loaded planes weight
neutral,choose seat free clicking buttons
negative,time call need skis go airport get faith united
positive,yes minutes spare fyi employees amazing keep good work
negative,discovered flight cancelled flightled yesterday finally notified us flight cancelled flighted
negative,site help
neutral,delete tweet
negative,fail snow coming dc area tried get earlier flight refused flight hours delayed greedy foolish
negative,book reward travel august everything blacked
neutral,could get gate crew help us flt would great
neutral,get tsa traveler id added boarding pass would included tsa precheck flying tomorro
negative,missed ktm flight due ur cancelled flightlation mike supervisor disgusting day late flight apology upgrade offer lhr ord
negative,best think lousy way run airline online way connect hold amp zip
neutral,message pics sent
negative,sorry meant flight supposed depart says issue
negative,let flt know im coming gate crew yet arrive let us flt dfw
negative,anyone ever answer phone poor
negative,aa also hour late flight depart ohare luggage happy standing long line baggage svc
negative,didnt say anything patience said probably last time fly southwest suggest others
negative,delayed missed due delay new flight delayed
negative,hrs since flight landed zero info missing bag rough eta would hugely helpful restore confidence
positive,lauren omg im dead im happy yes yes
negative,hours hold oh wait less minutes useless csr talked put back hold last minutes
negative,credit card charged transaction told would charge goes contacting
negative,hi flight dfw cancelled flightled tonight called left number call back please help
neutral,sorry thought done
negative,work customer support extremely saddened united wont waive change fee flights cancelled flight due east coast storms
negative,get free upgrade problems weve reservation mkwlkr
neutral,help seat assignment people flight phx hnl seats split anything great
negative,passengers seated crew ready wheresthepilot ord hope isnt bar
negative,first class snack basket catered drinks preflight drink coathanging drink service min take
neutral,fleets fleek
neutral,flight fort lauderdale bwi cancelled flight flight flight trip id
negative,airline sucks customer service sucks courtesy incompetent passengers matter bet ceo fine though
negative,gives delayed hours mco jfk every time
neutral,please connect two reservations together also add child lap kevolt sozldj march thanks
negative,actually said fraud issue never resolved issue new ticket phone
negative,let oversold earlybirdmeansnothing
negative,someone info smh one bag came nothing
negative,conf finally got amp told flight completely booked would better info advise call
negative,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday
positive,haha thanks guys great unlike gopatriots
positive,always mosaicmecrazy sunrise bestairline nofilterneeded amp love flyfi…
positive,austin saw water bottles amp snacks desk waiting passengers im flight booking problems next flight
negative,flight bhm delayed connect flgt left us clt motel
negative,point made home
negative,find text funny considering still sitting seats need changed
negative,sent couple messages email provided avail try next year cheers
neutral,operated united heathrownewark flight
positive,well thanks charging switching two cancelled flightled flights anyway pretty nice stillmakingmepoorthough
negative,cant gate agent flight provide update seriously ridiculous long people waiting
negative,airlines kidding bagage lost morning ny washington still trace badservice
neutral,done
positive,giants virgin america match made heaven
neutral,whats current checked bag price policy fly coming week couldnt find anything definitive
neutral,airline trouble winter amp getting good customer service contact negotiate resolutions
negative,glad ive waiting hour minutes ive transferred times without resolving anything worst service ever
negative,see information boarding process kp” get group reason
negative,done sadly flight clt gotten ind today head back tampa tmrw
neutral,child traveling cross countryshes turning marchand cont
negative,sorry uncomfortable andrew you” sma
positive,crisis averted flight bos fll boarding lets hope new pilots arent clarence oveur roger murdock
negative,going back gate bc something overheating sitting hourslove united stinks
negative,hey bag damaged flying yesterday
negative,concerned close club paid alot last flight construction going inconvenient
negative,used evening flight dcadsm early return middle work day inconvenient
positive,appreciate replies though
negative,remember im doubtful hopeful
negative,real staff behave offensively flight please look message want particulars
negative,right two hours late flight seems due poor communication sounded like annoying onplane staff
neutral,btw weather delay weve beautiful weather sunny california nolove noexcuses cali
positive,wow amazing video great world guys bluemanity corevalues passion aerojobmarket
negative,weve waiting tarmac apparently overweight amp returned gate wtf fb
negative,pretty upset drove philly mhtt still info bags whats deal
negative,arent called check worstcustomerservice
negative,asked lindsey call instead dm like schoolgirl far call getting tired typing little notes
negative,think problem resolution decided end especially youd like continue flying airline
negative,ep travels miles yr would expect horrible travel experience
positive,thx quick response action bf make good use voucher satisfied happycustomer
neutral,club virgin bumping new york
negative,onboard wifi bad taking minutes send tweet working table disappointed
negative,going planned understatement flight changed werent family emergency id cancelled flight
neutral,ugh kicking missing destinationdragons need back life
negative,years ago lost miles bc physically unable fly period submitted doctors note
neutral,status stlaus
negative,going computers flight grounded airline suck much unansweredquestions
neutral,fleets fleek see
negative,flight first hour wait deadhead crew deadhead crew takes overhead bin space paying customers annoyed
positive,gorgeous day hope flight back tomorrow pleasant thanks
negative,correct date
positive,glad see going fix please dm confirmation check
negative,bad service miami airport
negative,pilot another flight attendant left walking away laughing wow
negative,idea caused delay flight fll gt jax
negative,dm sent lack customer service getting ridiculous
positive,awesome ill book next christmas vacatinn december ways want devalue mileage plus
positive,fun delay nashville las vegas crew gate desk awesome patience luvswa
positive,safety dos donts announcer flight midway mdw pittsburgh pit
neutral,chance summer
negative,response dm email yet customer service
negative,hooray ive hold hour ive never loved southwest
neutral,get priority seating already paid flight
neutral,looks like brooding skies ont evening
neutral,thestarter
negative,im nasty boston family driving min pick erie think flight cancelled flighted
neutral,link site displays delays cancelled flightations flights
negative,trying book whole new flight since hours wrong website
positive,despite bag making newark good informative email tracking updates help
negative,wife amp infant daughter abidfw en route delayed y’all hold rdu connect
negative,thats number called wouldnt let speak agent issues weather today
negative,flight cancelled flighted time cant reach agent reschedule call
negative,contact others flight cant get website work none info valid
neutral,traveling sep reservation number
negative,nbd able figure workaround wanted help got bags less hours late flightr muchas grassy ass
negative,havent allowed flight changes ny area airports tonight everyone saying travel treacherous
